updateTime,latitude,longitude,speed,direction,address
1770991974000,-8.801375,13.255444,1122.3120000000001,246,
1770991981000,-8.801418,13.25532,379.65999999999997,244,
1770991986000,-8.801481,13.255165,935.26,234,
1770991993000,-8.801535,13.25514,0,160,
1770992029000,-8.801492,13.255072,926,307,
1770992101000,-8.801592,13.255043,0,0,
1770992104000,-8.801538,13.255045,387.068,354,
1770992113000,-8.801456,13.25505,0,9,
1771404062000,-8.801356,13.259255,0,0,
1771404791000,-8.802658,13.241852,4074.4,186,
1771404798000,-8.803305,13.242032,385.216,235,
1771404800000,-8.803349,13.242046,1857.556,150,
1771404840000,-8.803284,13.241917,0,322,
1771404900000,-8.803313,13.2418785,1124.164,204,
1771404908000,-8.80365,13.241643,1311.216,229,
1771404910000,-8.803708,13.241605,1127.868,215,
1771404912000,-8.80378,13.241605,1126.016,189,
1771404916000,-8.803908,13.241582,929.7040000000001,157,
1771404924000,-8.804209,13.241673,1485.304,144,
1771404929000,-8.804276,13.24158,559.304,178,
1771404939000,-8.80429,13.241515,559.304,104,
1771404952000,-8.804334,13.241468,0,123,
1771404960000,-8.804327,13.241388,0,281,
1771405490000,-8.8052,13.241881,1120.46,210,
1771405494000,-8.805324,13.241707,1683.468,268,
1771405496000,-8.805425,13.241615,3150.252,212,
1771405506000,-8.806013,13.24124,746.356,175,
1771405508000,-8.806087,13.241245,1120.46,158,
1771405521000,-8.806637,13.24164,1307.5120000000002,134,
1771405524000,-8.806785,13.241655,1853.852,215,
1771405526000,-8.806865,13.24156,2592.8,249,
1771405528000,-8.806936,13.241428,2794.668,235,
1771405533000,-8.807135,13.24114,3348.416,237,
1771405545000,-8.80771,13.240361,2226.1040000000003,243,
1771405548000,-8.807812,13.24019,2413.156,247,
1771405552000,-8.807968,13.240006,1868.6680000000001,230,
1771405554000,-8.808003,13.239899,2239.068,264,
1771405556000,-8.807997,13.239754,2790.964,279,
1771405560000,-8.80803,13.239515,2050.1639999999998,251,
1771405564000,-8.808151,13.239337,2048.312,225,
1771405566000,-8.808273,13.239288,2779.852,201,
1771405569000,-8.808438,13.23923,3337.304,203,
1771405572000,-8.808726,13.239054,2603.912,211,
1771405576000,-8.80894,13.238936,2235.364,204,
1771405580000,-8.809075,13.238902,933.408,178,
1771405600000,-8.810017,13.238303,3529.9120000000003,229,
1771405604000,-8.810456,13.23794,4259.6,216,
1771405617000,-8.81133,13.23707,3150.252,220,
1771405629000,-8.812152,13.236363,3904.0160000000005,207,
1771405636000,-8.81267,13.235818,3716.964,232,
1771405641000,-8.812881,13.235448,3892.904,242,
1771405646000,-8.813071,13.234945,2235.364,258,
1771405650000,-8.813084,13.23485,387.068,291,
1771405711000,-8.813113,13.23414,3889.2,270,
1771405713000,-8.813085,13.23393,3898.46,278,
1771405725000,-8.81295,13.233142,2042.756,298,
1771405729000,-8.812886,13.233005,1307.5120000000002,278,
1771405735000,-8.812885,13.232839,938.9639999999999,258,
1771405737000,-8.812881,13.232787,572.268,274,
1771405743000,-8.812872,13.232632,750.0600000000001,239,
1771405747000,-8.812895,13.23254,572.268,263,
1771405749000,-8.812899,13.232493,937.1120000000001,272,
1771405757000,-8.812903,13.232117,1857.556,281,
1771405761000,-8.812837,13.231889,1494.5639999999999,278,
1771405767000,-8.812775,13.2314415,3711.4080000000004,265,
1771405773000,-8.812795,13.230845,2781.704,245,
1771405781000,-8.812866,13.230215,1494.5639999999999,264,
1771405785000,-8.812868,13.230055,933.408,269,
1771405789000,-8.812913,13.229959,1301.956,252,
1771405795000,-8.812952,13.229627,2970.608,273,
1771405797000,-8.812933,13.22946,2979.868,283,
1771405805000,-8.812721,13.22894,935.26,339,
1771405807000,-8.812672,13.228938,1120.46,26,
1771405809000,-8.812609,13.22895,1111.2,6,
1771405821000,-8.812518,13.228929,0,8,
1771405830000,-8.812471,13.228965,557.452,106,
1771405832000,-8.812407,13.2289915,753.764,43,
1771405833000,-8.812358,13.229002,0,44,
1771405837000,-8.812262,13.229016,559.304,21,
1771405845000,-8.812153,13.229058,383.364,34,
1771405853000,-8.812043,13.229125,938.9639999999999,64,
1771405855000,-8.811996,13.229147,926,23,
1771405857000,-8.811952,13.229103,740.8,312,
1771405863000,-8.81182,13.229148,559.304,38,
1771405873000,-8.81173,13.229033,938.9639999999999,222,
1771405879000,-8.811735,13.228983,0,336,
1771406272000,-8.811619,13.229022,568.5640000000001,280,
1771406276000,-8.811673,13.228976,744.504,11,
1771406280000,-8.811648,13.22903,746.356,120,
1771406284000,-8.811628,13.229082,757.4680000000001,63,
1771406288000,-8.811592,13.229155,746.356,125,
1771406290000,-8.811572,13.229286,1857.556,95,
1771406292000,-8.811515,13.229445,2603.912,81,
1771406296000,-8.81147,13.229778,2239.068,81,
1771406300000,-8.811412,13.230017,1498.268,95,
1771406302000,-8.811448,13.230063,1481.6,168,
1771406308000,-8.811935,13.230135,3892.904,176,
1771406320000,-8.812807,13.230318,2785.4080000000004,176,
1771406328000,-8.81337,13.230369,3165.068,182,
1771406332000,-8.813642,13.230317,2226.1040000000003,198,
1771406336000,-8.813815,13.23023,2407.6,212,
1771406338000,-8.813911,13.230202,1855.7040000000002,188,
1771406344000,-8.814207,13.230198,2598.356,172,
1771406349000,-8.814419,13.230275,1866.816,157,
1771406375000,-8.81442,13.23034,555.6,121,
1771406379000,-8.81447,13.230327,740.8,221,
1771406380000,-8.814537,13.230278,1868.6680000000001,210,
1771406383000,-8.814707,13.230238,3705.852,192,
1771406392000,-8.815601,13.230023,1307.5120000000002,166,
1771406404000,-8.815679,13.229981,0,16,
1771406416000,-8.815772,13.22993,0,186,
1771406426000,-8.815871,13.229874,927.8520000000001,200,
